Last Updated 5.29.21,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Cards/Categories,AirBnB and hotels,Car rental,Department stores,Dining,Gas,General purchases,Grocery,Pharmacies,Rideshare,Streaming,Transit,Travel,Wholesale
Alaska Airlines Visa Signature,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,3.00% on Alaska (1.0% elsewhere),1.00%
American Express Blue Cash Everyday,1.00%,1.00%,2.00%,1.00%,2.00%,1.00%,3.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%
American Express Blue Cash Preferred,1.00%,1.00%,1.00%,1.00%,3.00%,1.00%,6.00%,1.00%,1.00%,6.00%,3.00%,1.00%,1.00%
American Express Gold Card,1.00%,1.00%,1.00%,4.00%,1.00%,1.00%,4.00%,1.00%,1.00%,1.00%,1.00%,3.00% flights (booked with airlines or on amextravel),1.00%
American Express Platinum Card,5.00% hotels (prepaid on amextravel),1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,5.00% flights (booked with airlines or on amextravel),1.00%
Bank of America Premium Rewards Visa (0% bonus),2.00%,2.00%,1.50%,2.00%,1.50%,1.50%,1.50%,1.50%,2.00%,1.50%,2.00%,2.00%,1.50%
Bank of America Premium Rewards Visa (25% bonus),2.50%,2.50%,1.88%,2.50%,1.88%,1.88%,1.88%,1.88%,2.50%,1.88%,2.50%,2.50%,1.88%
Bank of America Premium Rewards Visa (50% bonus),3.00%,3.00%,2.25%,3.00%,2.25%,2.25%,2.25%,2.25%,3.00%,2.25%,3.00%,3.00%,2.25%
Bank of America Premium Rewards Visa (75% bonus),3.50%,3.50%,2.62%,3.50%,2.62%,2.62%,2.62%,2.62%,3.50%,2.62%,3.50%,3.50%,2.62%
Capital One Venture Rewards (the one *with* the annual fee),2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%
Capital One VentureOne Rewards (the one without the annual fee),1.25%,1.25%,1.25%,1.25%,1.25%,1.25%,1.25%,1.25%,1.25%,1.25%,1.25%,1.25%,1.25%
Chase Freedom Unlimited,1.5% (5.0% if purchased through Chase Ultimate rewards),1.5% (5.0% if purchased through Chase Ultimate rewards),1.50%,3.00%,1.50%,1.50%,1.50%,3.00%,1.50%,1.50%,1.50%,5.00% (when purchased through Chase Ultimate rewards),1.50%
Chase Sapphire Reserve,2.00%,2.00%,1.00%,2.00%,1.00%,1.00%,0.01,1.00%,2.00% (5.0% if on Lyft),1.00%,1.00%,2.00%,1.00%
Chase Sapphire Preferred,3.00%,3.00%,1.00%,3.00%,1.00%,1.00%,0.01,1.00%,3.00% (10.0% if on Lyft),1.00%,1.00%,3.00%,1.00%
Citi AAdvantage Platinum Select World Elite Mastercard,1.00%,1.00%,1.00%,2.00%,2.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,2.00% on American (1.0% elsewhere),1.00%
Citi Double Cash Card,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%
Costco Anywhere Visa Card by Citi,3.00%,3.00%,1.00%,3.00%,4.00%,1.00%,2.00% at Costco (1.0% elsewhere),1.00%,1.00%,1.00%,1.00%,3.00%,2.00% at Costco (1.0% elsewhere)
Discover it Cash Back,1% (2.0% for first 12 months),1% (2.0% for first 12 months),1% (2.0% for first 12 months),1% (2.0% for first 12 months),5% (through Jun 30 2021),1% (2.0% for first 12 months),1% (2.0% for first 12 months),1% (2.0% for first 12 months),1% (2.0% for first 12 months),5% streaming services (through June 2021),1% (2.0% for first 12 months),1.00% (2.0% for first 12 months),5% wholesale clubs (through Jun 30 2021)
Southwest Rapid Rewards Plus,1.00% (2.0% if hotel partners with Southwest),2.00%,1.00%,1.00% (3.0% for first 12 months),1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,2.00% on Southwest (1.0% elsewhere),1.00%
Southwest Rapid Rewards Premier,1.00% (2.0% if hotel partners with Southwest),2.00%,1.00%,1.00% (3.0% for first 12 months),1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,2.00% on Southwest (1.0% elsewhere),1.00%
Southwest Rapid Rewards Priority,1.00% (2.0% if hotel partners with Southwest),2.00%,1.00%,1.00% (3.0% for first 12 months),1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,2.00% on Southwest (1.0% elsewhere),1.00%
Wells Fargo Propel American Express Card,3.00%,3.00%,1.00%,3.00%,3.00%,1.00%,1.00%,1.00%,3.00%,3.00%,3.00%,3.00%,1.00%
